AMEX60DD000001	ZFP37-ZNF568
AMEX60DD035828	AMEX60DD035828
AMEX60DD035829	AMEX60DD035829
AMEX60DD035830	SNRPB2
AMEX60DD035831	AMEX60DD035831
AMEX60DD035832	AMEX60DD035832
AMEX60DD035833	OTOR
AMEX60DD035834	AMEX60DD035834
AMEX60DD035835	PCSK2
AMEX60DD035836	BFSP1
AMEX60DD035837	BFSP1
AMEX60DD035838	PARPI_0016618-BFSP1
AMEX60DD035839	YBX2
AMEX60DD035840	AMEX60DD035840
AMEX60DD035841	LOC115456989
AMEX60DD035842	LOC115075329-PRG2
AMEX60DD035843	AMEX60DD035843
AMEX60DD035844	APLF
AMEX60DD035845	FBXO48
AMEX60DD035846	AMEX60DD035846
AMEX60DD035847	N321_11115-FBXO48
AMEX60DD035848	PLEK
AMEX60DD035849	AMEX60DD035849
AMEX60DD035850	CNRIP1
AMEX60DD035851	CHAC2
AMEX60DD035852	CHAC2
AMEX60DD035853	ASB3
AMEX60DD035854	AMEX60DD035854
AMEX60DD035855	AMEX60DD035855
AMEX60DD035856	LOC108703992-NYNRIN
AMEX60DD035857	LOC114595149
AMEX60DD035858	AMEX60DD035858
AMEX60DD035859	N/A
AMEX60DD035860	XELAEV_18029838MG
AMEX60DD035861	LOC113837993
AMEX60DD035862	AMEX60DD035862
AMEX60DD035863	N/A
AMEX60DD035864	LOC102462795
AMEX60DD035865	NRXN1
AMEX60DD035866	LOC106536907
AMEX60DD035867	AMEX60DD035867
AMEX60DD035868	NRXN1
AMEX60DD035869	AMEX60DD035869
AMEX60DD035870	LOC108698892
AMEX60DD035871	AMEX60DD035871
AMEX60DD035872	AMEX60DD035872
AMEX60DD035873	LOC101937472-NRXN1
AMEX60DD035874	AMEX60DD035874
AMEX60DD035875	AMEX60DD035875
AMEX60DD035876	AMEX60DD035876
AMEX60DD035877	AMEX60DD035877
AMEX60DD035878	GRN
AMEX60DD035879	AMEX60DD035879
AMEX60DD035880	AMEX60DD035880
AMEX60DD035881	LOC107385925
AMEX60DD035882	AMEX60DD035882
AMEX60DD035883	AMEX60DD035883
AMEX60DD035884	ROHU_007132
AMEX60DD035885	LOC108698892-NYNRIN
AMEX60DD035886	AMEX60DD035886
AMEX60DD035887	AMEX60DD035887
AMEX60DD035888	LOC108698892-TMEM161B
AMEX60DD035889	AMEX60DD035889
AMEX60DD035890	LHCGR
AMEX60DD035891	AMEX60DD035891
AMEX60DD035892	GTF2A1L
AMEX60DD035893	LOC115086921-STON1
AMEX60DD035894	PPP1R21
AMEX60DD035895	AMEX60DD035895
AMEX60DD035896	FOXN2
AMEX60DD035897	AMEX60DD035897
AMEX60DD035898	AMEX60DD035898
AMEX60DD035899	FBXO11
AMEX60DD035900	AMEX60DD035900
AMEX60DD035901	MSH6
AMEX60DD035902	AMEX60DD035902
AMEX60DD035903	AMEX60DD035903
AMEX60DD035904	MSH2
AMEX60DD035905	AMEX60DD035905
AMEX60DD035906	AMEX60DD035906
AMEX60DD035907	AMEX60DD035907
AMEX60DD035908	EPCAM
AMEX60DD035909	AMEX60DD035909
AMEX60DD035910	AMEX60DD035910
AMEX60DD035911	N/A
AMEX60DD035912	AMEX60DD035912
AMEX60DD035913	CALM2-CALM1
AMEX60DD035914	STPG4
AMEX60DD035915	TTC7A
AMEX60DD035916	N/A
AMEX60DD035917	AMEX60DD035917
AMEX60DD035918	D4764_08G0003300
AMEX60DD035919	AMEX60DD035919
AMEX60DD035920	MCFD2
AMEX60DD035921	N/A
AMEX60DD035922	PROP1
AMEX60DD035923	E1301_TTI013651
AMEX60DD035924	SOCS5
AMEX60DD035925	AMEX60DD035925
AMEX60DD035926	LOC102693775
AMEX60DD035927	CRIPT
AMEX60DD035928	PIGF
AMEX60DD035929	RHOQ
AMEX60DD035930	AMEX60DD035930
AMEX60DD035931	AMEX60DD035931
AMEX60DD035932	EPAS1
AMEX60DD035933	AMEX60DD035933
AMEX60DD035934	PRKCE
AMEX60DD035935	PDZRN3
AMEX60DD035936	SRBD1
AMEX60DD035937	AMEX60DD035937
AMEX60DD035938	AMEX60DD035938
AMEX60DD035939	AMEX60DD035939
AMEX60DD035940	SIX2
AMEX60DD035941	AMEX60DD035941
AMEX60DD035942	LOC115472519
AMEX60DD035943	SIX3
AMEX60DD035944	AMEX60DD035944
AMEX60DD035945	AMEX60DD035945
AMEX60DD035946	LOC102565761-CAMKMT
AMEX60DD035947	AMEX60DD035947
AMEX60DD035948	AMEX60DD035948
AMEX60DD035949	LOC106531777
AMEX60DD035950	AMEX60DD035950
AMEX60DD035951	AMEX60DD035951
AMEX60DD035952	PREPL
AMEX60DD035953	SLC3A1
AMEX60DD035954	PPM1B
AMEX60DD035955	AMEX60DD035955
AMEX60DD035956	AMEX60DD035956
AMEX60DD035957	LRPPRC
AMEX60DD035958	ABCG8
AMEX60DD035959	AMEX60DD035959
AMEX60DD035960	N/A
AMEX60DD035961	LOC111946802-LOC105373926
AMEX60DD035962	DYNC2LI1
AMEX60DD035963	DYNC2LI1-DKFZP564A033
AMEX60DD035964	DYNC2LI1
AMEX60DD035965	PLEKHH2
AMEX60DD035966	SESN3
AMEX60DD035967	LOC503325
AMEX60DD035968	THADA
AMEX60DD035969	THADA
AMEX60DD035970	LOC112543511
AMEX60DD035971	AMEX60DD035971
AMEX60DD035972	ZFP36L2
AMEX60DD035973	AMEX60DD035973
AMEX60DD035974	ROHU_019343
AMEX60DD035975	AMEX60DD035975
AMEX60DD035976	AMEX60DD035976
AMEX60DD035977	AMEX60DD035977
AMEX60DD035978	AMEX60DD035978
AMEX60DD035979	AMEX60DD035979
AMEX60DD035980	AMEX60DD035980
AMEX60DD035981	AMEX60DD035981
AMEX60DD035982	AMEX60DD035982
AMEX60DD035983	AMEX60DD035983
AMEX60DD035984	AMEX60DD035984
AMEX60DD035985	AMEX60DD035985
AMEX60DD035986	HAAO
AMEX60DD035987	AMEX60DD035987
AMEX60DD035988	AMEX60DD035988
AMEX60DD035989	LOC112843268
AMEX60DD035990	AMEX60DD035990
AMEX60DD035991	LOC112843268
AMEX60DD035992	MTA3
AMEX60DD035993	KCNG3
AMEX60DD035994	LOC103044634-COX7A2L
AMEX60DD035995	AMEX60DD035995
AMEX60DD035996	AMEX60DD035996
AMEX60DD035997	AMEX60DD035997
AMEX60DD035998	EML4
AMEX60DD035999	AMEX60DD035999
AMEX60DD036000	AMEX60DD036000
AMEX60DD036001	LOC111188456-NYNRIN
AMEX60DD036002	E1301_TTI013651
AMEX60DD036003	AMEX60DD036003
AMEX60DD036004	AMEX60DD036004
AMEX60DD036005	AMEX60DD036005
AMEX60DD036006	AMEX60DD036006
AMEX60DD036007	LOC106702022-ERVV-2
AMEX60DD036008	PKDCC
AMEX60DD036009	FIGNL1
AMEX60DD036010	FIGNL1
AMEX60DD036011	BICRAL
AMEX60DD036012	AMEX60DD036012
AMEX60DD036013	AMEX60DD036013
AMEX60DD036014	AMEX60DD036014
AMEX60DD036015	TBCC
AMEX60DD036016	PRPH2
AMEX60DD036017	AMEX60DD036017
AMEX60DD036018	AMEX60DD036018
AMEX60DD036019	LOC104480091-TRERF1
AMEX60DD036020	MRPS10
AMEX60DD036021	AMEX60DD036021
AMEX60DD036022	UTP25
AMEX60DD036023	SYT14
AMEX60DD036024	AMEX60DD036024
AMEX60DD036025	AMEX60DD036025
AMEX60DD036026	AMEX60DD036026
AMEX60DD036027	SERTAD4
AMEX60DD036028	LOC102944767
AMEX60DD036029	AMEX60DD036029
AMEX60DD036030	AMEX60DD036030
AMEX60DD036031	AMEX60DD036031
AMEX60DD036032	AMEX60DD036032
AMEX60DD036033	LOC113105762
AMEX60DD036034	LOC113049919
AMEX60DD036035	AMEX60DD036035
AMEX60DD036036	AMEX60DD036036
AMEX60DD036037	AMEX60DD036037
AMEX60DD036038	AMEX60DD036038
AMEX60DD036039	AMEX60DD036039
AMEX60DD036040	AMEX60DD036040
AMEX60DD036041	N/A
AMEX60DD036042	RCOR3
AMEX60DD036043	TRAF5
AMEX60DD036044	UY3_18610
AMEX60DD036045	AMEX60DD036045
AMEX60DD036046	DPX16_17940
AMEX60DD036047	AMEX60DD036047
AMEX60DD036048	RD3
AMEX60DD036049	AMEX60DD036049
AMEX60DD036050	SLC30A1
AMEX60DD036051	AMEX60DD036051
AMEX60DD036052	AMEX60DD036052
AMEX60DD036053	NEK2
AMEX60DD036054	LPGAT1
AMEX60DD036055	INTS7
AMEX60DD036056	DTL
AMEX60DD036057	AMEX60DD036057
AMEX60DD036058	PPP2R5A
AMEX60DD036059	AMEX60DD036059
AMEX60DD036060	PACC1
AMEX60DD036061	AMEX60DD036061
AMEX60DD036062	AMEX60DD036062
AMEX60DD036063	AMEX60DD036063
AMEX60DD036064	AMEX60DD036064
AMEX60DD036065	AMEX60DD036065
AMEX60DD036066	E1301_TTI023775
AMEX60DD036067	BATF3
AMEX60DD036068	NSL1
AMEX60DD036069	TATDN3
AMEX60DD036070	LOC115465525-TATDN3
AMEX60DD036071	SPATA45
AMEX60DD036072	AMEX60DD036072
AMEX60DD036073	VASH2
AMEX60DD036074	AMEX60DD036074
AMEX60DD036075	ANGEL2
AMEX60DD036076	RPS6KC1
AMEX60DD036077	AMEX60DD036077
AMEX60DD036078	AMEX60DD036078
AMEX60DD036079	AMEX60DD036079
AMEX60DD036080	AMEX60DD036080
AMEX60DD036081	AMEX60DD036081
AMEX60DD036082	LOC116043362
AMEX60DD036083	PROX1
AMEX60DD036084	AMEX60DD036084
AMEX60DD036085	XELAEV_18000510MG
AMEX60DD036086	SMYD2
AMEX60DD036087	PTPN14
AMEX60DD036088	CENPF
AMEX60DD036089	AMEX60DD036089
AMEX60DD036090	AMEX60DD036090
AMEX60DD036091	AMEX60DD036091
AMEX60DD036092	LOC115465512
AMEX60DD036093	D9C73_028124
AMEX60DD036094	KCNK2
AMEX60DD036095	LOC107585294
AMEX60DD036096	AMEX60DD036096
AMEX60DD036097	AMEX60DD036097
AMEX60DD036098	LOC107385082
AMEX60DD036099	KCTD3
AMEX60DD036100	AMEX60DD036100
AMEX60DD036101	AMEX60DD036101
AMEX60DD036102	AMEX60DD036102
AMEX60DD036103	USH2A
AMEX60DD036104	AMEX60DD036104
AMEX60DD036105	PARPI_0022642
AMEX60DD036106	AMEX60DD036106
AMEX60DD036107	ESRRG
AMEX60DD036108	AMEX60DD036108
AMEX60DD036109	AMEX60DD036109
AMEX60DD036110	AMEX60DD036110
AMEX60DD036111	AMEX60DD036111
AMEX60DD036112	AMEX60DD036112
AMEX60DD036113	GPATCH2
AMEX60DD036114	SPATA17
AMEX60DD036115	AMEX60DD036115
AMEX60DD036116	AMEX60DD036116
AMEX60DD036117	AMEX60DD036117
AMEX60DD036118	N/A
AMEX60DD036119	RTL1
AMEX60DD036120	ROHU_007132
AMEX60DD036121	AMEX60DD036121
AMEX60DD036122	RRP15
AMEX60DD036123	AMEX60DD036123
AMEX60DD036124	AMEX60DD036124
AMEX60DD036125	AMEX60DD036125
AMEX60DD036126	TGFB2
AMEX60DD036127	RWDD1
AMEX60DD036128	LYPLAL1
AMEX60DD036129	LYPLAL1
AMEX60DD036130	AMEX60DD036130
AMEX60DD036131	AMEX60DD036131
AMEX60DD036132	AMEX60DD036132
AMEX60DD036133	AMEX60DD036133
AMEX60DD036134	SLC30A10
AMEX60DD036135	SLC30A10
AMEX60DD036136	AMEX60DD036136
AMEX60DD036137	EPRS1
AMEX60DD036138	BPNT1
AMEX60DD036139	IARS2
AMEX60DD036140	LOC115082507-RAB3GAP2
AMEX60DD036141	LOC103791393-RAB3GAP2
AMEX60DD036142	RAB3GAP2
AMEX60DD036143	RPL37
AMEX60DD036144	AMEX60DD036144
AMEX60DD036145	AMEX60DD036145
AMEX60DD036146	MARK1
AMEX60DD036147	MARK1
AMEX60DD036148	MARK1
AMEX60DD036149	LOC106591837
AMEX60DD036150	AMEX60DD036150
AMEX60DD036151	MTARC2
AMEX60DD036152	LOC108718510
AMEX60DD036153	AMEX60DD036153
AMEX60DD036154	HLX
AMEX60DD036155	AMEX60DD036155
AMEX60DD036156	AMEX60DD036156
AMEX60DD036157	AMEX60DD036157
AMEX60DD036158	AMEX60DD036158
AMEX60DD036159	AMEX60DD036159
AMEX60DD036160	AMEX60DD036160
AMEX60DD036161	DUSP10
AMEX60DD036162	LOC100491442-HARBI1
AMEX60DD036163	AMEX60DD036163
AMEX60DD036164	AMEX60DD036164
AMEX60DD036165	HHIPL2
AMEX60DD036166	TAF1A
AMEX60DD036167	MIA3
AMEX60DD036168	AMEX60DD036168
AMEX60DD036169	AIDA
AMEX60DD036170	BROX
AMEX60DD036171	LOC102351696
AMEX60DD036172	AMEX60DD036172
AMEX60DD036173	DISP1
AMEX60DD036174	TLR5
AMEX60DD036175	SUSD4
AMEX60DD036176	LOC114665964
AMEX60DD036177	LOC114665964
AMEX60DD036178	LOC108787058-SLC39A9
AMEX60DD036179	CAPN8
AMEX60DD036180	AMEX60DD036180
AMEX60DD036181	AMEX60DD036181
AMEX60DD036182	CAPN2
AMEX60DD036183	AMEX60DD036183
AMEX60DD036184	TP53BP2
AMEX60DD036185	LOC102461666
AMEX60DD036186	LOC114162038
AMEX60DD036187	AMEX60DD036187
AMEX60DD036188	CAPN8
AMEX60DD036189	DEGS1
AMEX60DD036190	AMEX60DD036190
AMEX60DD036191	AMEX60DD036191
AMEX60DD036192	AMEX60DD036192
AMEX60DD036193	AMEX60DD036193
AMEX60DD036194	NVL
AMEX60DD036195	LOC102361187
AMEX60DD036196	CNIH4
AMEX60DD036197	WDR26
AMEX60DD036198	AMEX60DD036198
AMEX60DD036199	AMEX60DD036199
AMEX60DD036200	AMEX60DD036200
AMEX60DD036201	AMEX60DD036201
AMEX60DD036202	AMEX60DD036202
AMEX60DD036203	AMEX60DD036203
AMEX60DD036204	ALK-KIF5B-ALK
AMEX60DD036205	ALK-KIF5B-ALK
AMEX60DD036206	AMEX60DD036206
AMEX60DD036207	ALK
AMEX60DD036208	LOC104480590-ALK
AMEX60DD036209	AMEX60DD036209
AMEX60DD036210	AMEX60DD036210
AMEX60DD036211	AMEX60DD036211
AMEX60DD036212	ALK
AMEX60DD036213	AMEX60DD036213
AMEX60DD036214	AMEX60DD036214
AMEX60DD036215	LOC115469652
AMEX60DD036216	LOC106527161
AMEX60DD036217	LOC102930307-ANKRD9
AMEX60DD036218	YPEL5
AMEX60DD036219	AMEX60DD036219
AMEX60DD036220	AMEX60DD036220
AMEX60DD036221	AMEX60DD036221
AMEX60DD036222	LBH
AMEX60DD036223	AMEX60DD036223
AMEX60DD036224	AMEX60DD036224
AMEX60DD036225	AMEX60DD036225
AMEX60DD036226	AMEX60DD036226
AMEX60DD036227	AMEX60DD036227
AMEX60DD036228	AMEX60DD036228
AMEX60DD036229	LOC112547415
AMEX60DD036230	AMEX60DD036230
AMEX60DD036231	AMEX60DD036231
AMEX60DD036232	LOC104251901-LCLAT1
AMEX60DD036233	AMEX60DD036233
AMEX60DD036234	CAPN13.L-CAPN1
AMEX60DD036235	AMEX60DD036235
AMEX60DD036236	CAPN10L.L-CAPN1
AMEX60DD036237	LOC109100802
AMEX60DD036238	GALNT14
AMEX60DD036239	AMEX60DD036239
AMEX60DD036240	AB205_0079220-GALNT14
AMEX60DD036241	AMEX60DD036241
AMEX60DD036242	LOC115086742-CAPN14
AMEX60DD036243	LOC115086742-CAPN14
AMEX60DD036244	EHD3
AMEX60DD036245	LOC115465561-CHST9
AMEX60DD036246	XDH
AMEX60DD036247	XDH
AMEX60DD036248	AMEX60DD036248
AMEX60DD036249	CIAO2B
AMEX60DD036250	CDC42BPA
AMEX60DD036251	AMEX60DD036251
AMEX60DD036252	LOC108798865
AMEX60DD036253	COQ8A
AMEX60DD036254	AMEX60DD036254
AMEX60DD036255	LOC104624480-ITPKB
AMEX60DD036256	UNC5D
AMEX60DD036257	EOD39_6535
AMEX60DD036258	STUM
AMEX60DD036259	AMEX60DD036259
AMEX60DD036260	AMEX60DD036260
AMEX60DD036261	AMEX60DD036261
AMEX60DD036262	PARP1
AMEX60DD036263	LOC106732742
AMEX60DD036264	LIN9
AMEX60DD036265	MIXL1
AMEX60DD036266	AMEX60DD036266
AMEX60DD036267	ACBD3
AMEX60DD036268	AMEX60DD036268
AMEX60DD036269	LOC107572204-H3-3A
AMEX60DD036270	SDE2
AMEX60DD036271	LOC115086765-LEFTY2
AMEX60DD036272	AMEX60DD036272
AMEX60DD036273	AMEX60DD036273
AMEX60DD036274	PYGO2
AMEX60DD036275	TMEM63A
AMEX60DD036276	EPHX1
AMEX60DD036277	LOC106731724
AMEX60DD036278	LOC106731724
AMEX60DD036279	SRP9
AMEX60DD036280	AMEX60DD036280
AMEX60DD036281	AMEX60DD036281
AMEX60DD036282	AMEX60DD036282
AMEX60DD036283	AMEX60DD036283
AMEX60DD036284	AMEX60DD036284
AMEX60DD036285	LOC104376238-RPS25P6
AMEX60DD036286	LBR
AMEX60DD036287	AMEX60DD036287
AMEX60DD036288	LOC116219103
AMEX60DD036289	DNAH14
AMEX60DD036290	DNAH14
AMEX60DD036291	RPL21
AMEX60DD036292	DNAH14
AMEX60DD036293	AMEX60DD036293
AMEX60DD036294	AMEX60DD036294
AMEX60DD036295	AMEX60DD036295
AMEX60DD036296	AMEX60DD036296
AMEX60DD036297	DNAH14
AMEX60DD036298	DNAH14
AMEX60DD036299	DNAH14
AMEX60DD036300	DNAH14
AMEX60DD036301	DPX16_21124
AMEX60DD036302	DNAH14
AMEX60DD036303	DNAH14
AMEX60DD036304	DNAH14-C1ORF67
AMEX60DD036305	AMEX60DD036305
AMEX60DD036306	AMEX60DD036306
AMEX60DD036307	AMEX60DD036307
AMEX60DD036308	CLIP4
AMEX60DD036309	PCARE
AMEX60DD036310	AMEX60DD036310
AMEX60DD036311	AMEX60DD036311
AMEX60DD036312	AMEX60DD036312
AMEX60DD036313	DR999_PMT07120-WDR43
AMEX60DD036314	TRMT61B
AMEX60DD036315	SPDYA
AMEX60DD036316	AMEX60DD036316
AMEX60DD036317	AMEX60DD036317
AMEX60DD036318	PPP1CB
AMEX60DD036319	AMEX60DD036319
AMEX60DD036320	AMEX60DD036320
AMEX60DD036321	PSMD7
AMEX60DD036322	PSMD7
AMEX60DD036323	PSMD7
AMEX60DD036324	FOSL2
AMEX60DD036325	AMEX60DD036325
AMEX60DD036326	RBKS
AMEX60DD036327	AMEX60DD036327
AMEX60DD036328	LOC115648935
AMEX60DD036329	SLC4A1AP
AMEX60DD036330	SUPT7L
AMEX60DD036331	AMEX60DD036331
AMEX60DD036332	LOC790411
AMEX60DD036333	AMEX60DD036333
AMEX60DD036334	ROHU_010238
AMEX60DD036335	AMEX60DD036335
AMEX60DD036336	AMEX60DD036336
AMEX60DD036337	AMEX60DD036337
AMEX60DD036338	AMEX60DD036338
AMEX60DD036339	AMEX60DD036339
AMEX60DD036340	AMEX60DD036340
AMEX60DD036341	AMEX60DD036341
AMEX60DD036342	AMEX60DD036342
AMEX60DD036343	MOCS1
AMEX60DD036344	N/A
AMEX60DD036345	DAAM2
AMEX60DD036346	AB205_0002040-DAAM1
AMEX60DD036347	AMEX60DD036347
AMEX60DD036348	LOC113746826
AMEX60DD036349	KIF6
AMEX60DD036350	LOC115467387-KCNK16
AMEX60DD036351	N/A
AMEX60DD036352	LOC115082470-KCNK5
AMEX60DD036353	LOC106702273-ENV
AMEX60DD036354	LOC115082470-KCNK5
AMEX60DD036355	LOC115422500-HARBI1
AMEX60DD036356	LOC115422500-HARBI1
AMEX60DD036357	AMEX60DD036357
AMEX60DD036358	SAYSD1
AMEX60DD036359	LOC115816455
AMEX60DD036360	AMEX60DD036360
AMEX60DD036361	AMEX60DD036361
AMEX60DD036362	AMEX60DD036362
AMEX60DD036363	AMEX60DD036363
AMEX60DD036364	AMEX60DD036364
AMEX60DD036365	LOCUS10-DNAH8
AMEX60DD036366	AMEX60DD036366
AMEX60DD036367	DNAH8
AMEX60DD036368	LOC106702552
AMEX60DD036369	DNAH8
AMEX60DD036370	DNAH8
AMEX60DD036371	N/A
AMEX60DD036372	LOC112817996-DNAH8
AMEX60DD036373	N/A
AMEX60DD036374	NUCKS1
AMEX60DD036375	LOC101378141-DNAH8
AMEX60DD036376	DNAH8
AMEX60DD036377	GLO1
AMEX60DD036378	BTBD9
AMEX60DD036379	AMEX60DD036379
AMEX60DD036380	AMEX60DD036380
AMEX60DD036381	ZFAND3
AMEX60DD036382	D9C73_028124
AMEX60DD036383	AMEX60DD036383
AMEX60DD036384	AMEX60DD036384
AMEX60DD036385	AMEX60DD036385
AMEX60DD036386	AMEX60DD036386
AMEX60DD036387	AMEX60DD036387
AMEX60DD036388	AMEX60DD036388
AMEX60DD036389	AMEX60DD036389
AMEX60DD036390	MDGA1
AMEX60DD036391	LOC108698892
AMEX60DD036392	AMEX60DD036392
AMEX60DD036393	AMEX60DD036393
AMEX60DD036394	AMEX60DD036394
AMEX60DD036395	LOC111947635
AMEX60DD036396	AMEX60DD036396
AMEX60DD036397	SLC26A4
AMEX60DD036398	AMEX60DD036398
AMEX60DD036399	AMEX60DD036399
AMEX60DD036400	AMEX60DD036400
AMEX60DD036401	AMEX60DD036401
AMEX60DD036402	AMEX60DD036402
AMEX60DD036403	AMEX60DD036403
AMEX60DD036404	AMEX60DD036404
AMEX60DD036405	AMEX60DD036405
AMEX60DD036406	AMEX60DD036406
AMEX60DD036407	AMEX60DD036407
AMEX60DD036408	AMEX60DD036408
AMEX60DD036409	CCDC167
AMEX60DD036410	N/A
AMEX60DD036411	N/A
AMEX60DD036412	RNF8
AMEX60DD036413	AMEX60DD036413
AMEX60DD036414	AMEX60DD036414
AMEX60DD036415	AMEX60DD036415
AMEX60DD036416	LOC115088534-HARBI1
AMEX60DD036417	AMEX60DD036417
AMEX60DD036418	VEGFA
AMEX60DD036419	AMEX60DD036419
AMEX60DD036420	AMEX60DD036420
AMEX60DD036421	AMEX60DD036421
AMEX60DD036422	AMEX60DD036422
AMEX60DD036423	AMEX60DD036423
AMEX60DD036424	AMEX60DD036424
AMEX60DD036425	AMEX60DD036425
AMEX60DD036426	AMEX60DD036426
AMEX60DD036427	ROHU_030003-NYNRIN
AMEX60DD036428	N/A
AMEX60DD036429	AMEX60DD036429
AMEX60DD036430	MRPS18A
AMEX60DD036431	RSPH9
AMEX60DD036432	AMEX60DD036432
AMEX60DD036433	AMEX60DD036433
AMEX60DD036434	LOC115081191
AMEX60DD036435	XPO5
AMEX60DD036436	AMEX60DD036436
AMEX60DD036437	DR999_PMT19738-B3GALT2
AMEX60DD036438	AMEX60DD036438
AMEX60DD036439	AMEX60DD036439
AMEX60DD036440	LOC115464912-B3GALT2
AMEX60DD036441	AMEX60DD036441
AMEX60DD036442	LOC108802349-CAPN1
AMEX60DD036443	AMEX60DD036443
AMEX60DD036444	TMEM63B
AMEX60DD036445	MRPL14
AMEX60DD036446	AMEX60DD036446
AMEX60DD036447	MROH1
AMEX60DD036448	LOC109199016
AMEX60DD036449	LOC115639993
AMEX60DD036450	LOC113409200
AMEX60DD036451	AMEX60DD036451
AMEX60DD036452	LXN
AMEX60DD036453	DR999_PMT07695-ABCC10
AMEX60DD036454	ZNF318
AMEX60DD036455	ZNF318
AMEX60DD036456	AMEX60DD036456
AMEX60DD036457	ZNF318
AMEX60DD036458	ZNF318
AMEX60DD036459	ZFP318-ZNF318
AMEX60DD036460	LOC103765848
AMEX60DD036461	AMEX60DD036461
AMEX60DD036462	LOC115086673-ABCC10
AMEX60DD036463	DLK2
AMEX60DD036464	AMEX60DD036464
AMEX60DD036465	AMEX60DD036465
AMEX60DD036466	AMEX60DD036466
AMEX60DD036467	AMEX60DD036467
AMEX60DD036468	AMEX60DD036468
AMEX60DD036469	TJAP1
AMEX60DD036470	LRRC73
AMEX60DD036471	AMEX60DD036471
AMEX60DD036472	AMEX60DD036472
AMEX60DD036473	YIPF3
AMEX60DD036474	YIPF3
AMEX60DD036475	POLR1C
AMEX60DD036476	XPO5
AMEX60DD036477	N/A
AMEX60DD036478	XPO5
AMEX60DD036479	AMEX60DD036479
AMEX60DD036480	AMEX60DD036480
AMEX60DD036481	XPO5
AMEX60DD036482	AMEX60DD036482
AMEX60DD036483	POLH
AMEX60DD036484	AMEX60DD036484
AMEX60DD036485	LOC111609900
AMEX60DD036486	LOC115125026
AMEX60DD036487	EOD39_6952
AMEX60DD036488	POLH
AMEX60DD036489	AMEX60DD036489
AMEX60DD036490	AMEX60DD036490
AMEX60DD036491	GTPBP2
AMEX60DD036492	AMEX60DD036492
AMEX60DD036493	MAD2L1BP
AMEX60DD036494	LOC102456152-EPHX1
AMEX60DD036495	AMEX60DD036495
AMEX60DD036496	AMEX60DD036496
AMEX60DD036497	AMEX60DD036497
AMEX60DD036498	AMEX60DD036498
AMEX60DD036499	AMEX60DD036499
AMEX60DD036500	AMEX60DD036500
AMEX60DD036501	LOC112547415
AMEX60DD036502	LOC110214103-ZNF79
AMEX60DD036503	AMEX60DD036503
AMEX60DD036504	LOC116219103-ERV3-2
AMEX60DD036505	AMEX60DD036505
AMEX60DD036506	LOC101953621-SPTBN1
AMEX60DD036507	AMEX60DD036507
AMEX60DD036508	SLC29A1
AMEX60DD036509	AMEX60DD036509
AMEX60DD036510	E1301_TTI023775
AMEX60DD036511	LOC112544063
AMEX60DD036512	AMEX60DD036512
AMEX60DD036513	AMEX60DD036513
AMEX60DD036514	AMEX60DD036514
AMEX60DD036515	HSP90AB1
AMEX60DD036516	SLC35B2
AMEX60DD036517	NFKBIE
AMEX60DD036518	N/A
AMEX60DD036519	AMEX60DD036519
AMEX60DD036520	AARS2
AMEX60DD036521	AMEX60DD036521
AMEX60DD036522	LOC101933521
AMEX60DD036523	AMEX60DD036523
AMEX60DD036524	AMEX60DD036524
AMEX60DD036525	AMEX60DD036525
AMEX60DD036526	TCTE1
AMEX60DD036527	TMEM151B
AMEX60DD036528	AMEX60DD036528
AMEX60DD036529	CRIP3
AMEX60DD036530	SLC22A7
AMEX60DD036531	LOC110080759
AMEX60DD036532	TTBK1
AMEX60DD036533	DNPH1
AMEX60DD036534	LOC115086658-CUL9
AMEX60DD036535	LOC115086658-CUL9
AMEX60DD036536	AMEX60DD036536
AMEX60DD036537	AMEX60DD036537
AMEX60DD036538	SRF
AMEX60DD036539	AMEX60DD036539
AMEX60DD036540	PTK7
AMEX60DD036541	KLC4-KLC1
AMEX60DD036542	AMEX60DD036542
AMEX60DD036543	MRPL2
AMEX60DD036544	LOC115086658-CUL9
AMEX60DD036545	LOC113433351-PACS1
AMEX60DD036546	AMEX60DD036546
AMEX60DD036547	AMEX60DD036547
AMEX60DD036548	AMEX60DD036548
AMEX60DD036549	AMEX60DD036549
AMEX60DD036550	AMEX60DD036550
AMEX60DD036551	AMEX60DD036551
AMEX60DD036552	AMEX60DD036552
AMEX60DD036553	LOC107123081-TMEM121
AMEX60DD036554	AMEX60DD036554
AMEX60DD036555	AMEX60DD036555
AMEX60DD036556	AMEX60DD036556
AMEX60DD036557	SMAX5B_016100
AMEX60DD036558	LOC113634882
AMEX60DD036559	AMEX60DD036559
AMEX60DD036560	AMEX60DD036560
AMEX60DD036561	AMEX60DD036561
AMEX60DD036562	AMEX60DD036562
AMEX60DD036563	LOC102359453
AMEX60DD036564	KLHDC3
AMEX60DD036565	MEA1
AMEX60DD036566	MEA1
AMEX60DD036567	AMEX60DD036567
AMEX60DD036568	AMEX60DD036568
AMEX60DD036569	VMD2
AMEX60DD036570	PPP2R5D
AMEX60DD036571	AMEX60DD036571
AMEX60DD036572	PEX6
AMEX60DD036573	AMEX60DD036573
AMEX60DD036574	GNMT
AMEX60DD036575	AMEX60DD036575
AMEX60DD036576	AMEX60DD036576
AMEX60DD036577	LOC115815316
AMEX60DD036578	AMEX60DD036578
